ADDR,Latitude,Longtitude,NAME
서울시 서대문구 창천동 72-36,37.5569016,126.9329799,다성일식
서울시 용산구 용산동3가 1-21,37.5344248,126.9750082,봉산집
서울시 영등포구 여의도동 44-37,37.5189582,126.9307458,창고43
서울시 광진구 화양동 9-22,37.5414873,127.0692836,돕감자탕
서울시 강북구 수유동 563-14,37.6456867,127.0071573,대보명가
서울시 성북구 동소문동 1가 62,37.5900691,127.0084044,해뜨는집
서울시 강남구 역삼동 821 이즈타워 B3,37.4986175,127.0278876,아이 해브어 드림
서울시 마포구 아현동  282-1,0.0,0.0,아현동 간장게장
서울시 강남구 논현동 98-12,37.5204088,127.0361107,왕소금구이
서울시 강남구 청담동 80-21,37.5261816,127.0448766,라틀리에 모니크
서울시 강남구 신사동 526-11,37.5210777,127.0198099,비스트로 딩고
서울시 서초구 반포4동 82-22,37.4947183,127.0009113,줄리에뜨
서울시 동대문구 제기동 138-2,37.5862178,127.034549,충주집
서울시 종로구 누하동 25-1,37.5801384,126.9690401,영화루
서울시 서초구 양재동 1-28,37.4845029,127.0391935,일품헌
서울시 종로구 부암동 208-37,37.5955682,126.9640695,립스테이크
종로구 당주동 5 로얄빌딩 지하 1층,37.572026,126.9743351,오가와
서울 마포구 연남동 257-8,37.5620845,126.9235561,까사디노아
서울 중구 필동 1가 3-20,37.5617693,126.9921966,충무로 주꾸미 불고기
