상품명,가격,rating,rating_num
"탐사수, 2L, 12개",6300,4.5,10166
"베베앙 아기물티슈 캡형, 100매, 10팩",9900,4.5,23214
"동원샘물, 2L, 12개",6380,4.5,173447
"센스 물티슈 캡형, 100매입, 10팩",7340,4.0,1298
"삼양 까르보 불닭볶음면 130g, 10개입",8810,4.5,590
"닥터유 한 입에 쏙 미니 다이제 초코맛, 390g",4310,4.5,165
"투쿨포스쿨 아트 클래스 바이 로댕 팩트 쉐딩 9.5g, 혼합색상",10020,4.5,4341
"농심 봉지라면 4종 기획 세트, 20개입",14900,4.5,8520
"매일유업 오리지널 멸균우유, 190ml, 24개입",10600,4.5,7787
"해태제과 고향만두 불낙교자, 315g, 4개입",14250,4.5,127
"다우니 초고농축 섬유유연제 퍼플 화이트와 릴리 향 본품, 1L, 3개입",9930,4.5,14741
"더자카 곰돌이 양치컵 칫솔걸이 세트, Y220LBBT001, 1세트",8220,4.0,190
"종이나라 핑크퐁 나라색연필, 16색",3220,4.0,268
"프릴 시크릿 오브 베이킹소다 퓨어레몬, 750ml",3900,4.5,1070
"삐아 라스트 벨벳 립 틴트 5g, 01 여리갑",5700,4.5,1364
"쿤달 허니 앤 마카다미아 네이처 샴푸 베이비파우더향, 500ml",7490,4.5,13897
"오리온 고래밥 미니 볶음양념맛, 200g",3140,5.0,623
"코디 라벤더 3겹 롤화장지 30m, 30개",8900,4.0,55366
"에스앤씨 업그레이드 건강한 혼밥 도시락 세트, 6종, 1세트",19800,4.0,5524
"삐아 라스트 벨벳 립 틴트3 5g, 13 진지보스",5700,4.5,621
"킨더 프렌즈 초콜릿, 200g",9170,4.5,1476
"오리온 초코파이 정 오리지널 + 바나나 + 초코칩 12p 세트, 452g, 1세트",3990,4.5,298
"오뚜기 맛있는 즉석밥, 210g, 24개입",17640,5.0,30580
"에이지투웨니스 에센스 커버 팩트 시즌9 TX 본품 12.5g, 21호",17240,4.5,754
"홀리카홀리카 아이 메탈 글리터 3.5g, 02 로즈버스트",5920,4.5,163
챌린지하이브리드 360도 회전 속도계 차량용 거치대,6900,4.0,2194
"베베숲 저자극 아기물티슈 시그니처 엠보싱 캡형, 70매, 10팩",16900,5.0,5626
노마진 배변패드 (20g) 40*50cm 100매,6070,4.5,6846
"고메 함박스테이크, 200g",3130,4.5,366
"서울우유 멸균 흰 우유, 190ml, 24개입",11200,4.5,2417
"켈로그 허쉬 초코크런치 시리얼, 500g",5980,4.0,3825
"세미 뽑아쓰는 수세미 핑크, 30개입",3900,4.0,4558
"올뉴TS샴푸, 1세트",22800,4.5,4314
"머지 더 퍼스트 펜 아이라이너 0.5g, P1 오레오",4900,4.0,9459
"99샵 리빙앳홈 싱크대 물막이, 혼합 색상",5900,4.0,1993
유니맥스 터보 핸디 겸용 스틱청소기 UVC-1686,30960,4.5,936
"탐사 종이컵 260ml, 100개입",5900,4.5,958
"센카 퍼펙트 휩 클렌징 폼, 120g",6200,4.5,14664
"농심 백산수, 500ml, 40개",13600,4.5,57203
"쿠첸 전기 압력밥솥 9~10인용, CJS-FC1001F",122990,4.0,817
"페리페라 맑은 수채화 벨벳 치크 4g, 6호 우와우아 말린장미",5850,4.5,453
아콘 블루투스 5.0 이어폰 오토페어링 FreeBuds X9,76700,4.5,75
"퍼실 파워젤 일반용 액상세제 라벤더 코튼프레쉬향 본품, 3L",13900,4.0,3122
"코디 코튼화이트 3겹 천연펄프 화장지 30M, 30개입",11990,4.5,10660
"에뛰드하우스 몬스터 클렌징 코튼, 408개입",3600,4.5,304
코시 블랑 블루투스 마이크 + 휴대용 USB 미러볼,15930,4.5,274
"페레로 하누타 헤이즐넛 초콜릿 와플, 22g, 10개입",6300,4.5,329
"테라오카 타마고니카케루 오쇼유 소스, 300ml",7500,4.5,11
"쿤달 모이스춰라이징 퓨어 바디워시 베이비파우더향, 500ml",7110,4.5,3820
바디럽 퓨어썸 샤워기,29800,4.5,830
"상하목장 유기농 우유, 125ml, 1박스",16400,4.5,8793
"햇반 사각 즉석밥, 210g, 24개",20900,5.0,9728
"시대온 셀프 뿌리 볼륨 집게, 단일 색상, 3개입",5330,3.5,145
"쿤달 허니 앤 마카다미아 헤어 트리트먼트 베이비파우더향, 500ml",7110,4.5,10642
"베베숲 굿 워터 에디션 유아물티슈 캡형, 80매, 10팩",14200,4.5,580
"이슬마루 17년산 의성사과(부사) 소과, 2kg, 1박스",8900,4.0,3552
"하기스 2017년 보송보송 드라이 팬티형 기저귀 남아용 특대형5단계 (13~18kg), 104매",27740,4.5,1446
"오리온 감자 패밀리팩, 6p, 1세트",3580,4.5,3869
"조르단 스텝 유아칫솔 2단계, 랜덤발송, 6개",11390,4.5,2429
"드림 초콜릿 케이크, 42g, 12개입",3020,4.5,98
"카카오프렌즈 멀티 펜 파우치, 라이언",14150,4.5,228
"기본에 크린지퍼백 혼합 세트, 1세트",6900,4.5,416
"착한푸드 깔라만시 원액 1L 3팩 + 보틀 500ml, 1세트",12900,4.5,436
"종이나라 핑크퐁 나라색연필 2p, 12색",5470,4.5,39
"풍미 2017년 풍요로운 쌀 백미, 10kg",23900,4.5,12491
"노바코퍼레이션 컬럭 백라이트 사각 체중계, 블랙",7500,4.5,4354
"프렌치카페 루카스나인 라떼 7호 선물세트 + 쇼핑백, 라떼 60T + 더존 스웰보틀, 1세트",19900,4.5,44
"카카오프렌즈 리틀프렌즈 신학기노트, 리틀 라이언, 10개입",7830,5.0,9
"삐아 캐시미어 섀도우, 01 코지 다이아",4000,4.5,228
"무아스 LED 벽시계, 화이트",17900,4.5,5140
"땡큐 캡형 물티슈, 100매, 10개",7890,4.5,34854
"오뚜기 진라면 매운맛, 10개",4580,4.5,14137
"앱솔루트(holistic) 강아지간식, 종합사사미, 5개입",9800,4.5,3186
"페리페라 잉크 더 에어리 벨벳 틴트 8g, 5호 엘프요정",5190,4.5,4149
"핑크퐁 동물 스티커 : 붙였다 떼었다 안심스티커 35개, 스마트스터디",4100,4.5,703
"미쟝센 퍼펙트 세럼, 70ml, 2개",8730,4.5,4193
"해태제과 맛동산, 38g",2980,4.5,145
"네이처리퍼블릭 슈퍼 아쿠아 맥스 컴비네이션 수분크림, 80ml",6160,4.5,3337
"코튼클라우드 호텔 타올 170g, 다크블루, 10개입",23900,4.0,2218
"아토세이프 대용량 액체세제 본품, 13L",8500,4.5,1601
"네이쳐리빙 논슬립 5단 바지걸이, 네이비, 2개입",5800,4.0,1177
"비비고 육개장 500g 2p + 소고기미역국 500g, 육개장(2p)+소고기미역국(1p), 1세트",8900,4.5,286
드레스하우스 데님 머리핀 10개입 + 하드케이스,4300,4.5,60
"한결미곡처리장 2017년 풍미쌀 백미, 20kg",46900,4.5,7411
"맥심 모카골드 마일드 커피 믹스, 12g, 210개",20870,4.5,36375
"이니띠움 터치미 러그, 그레이",12800,4.5,2503
"청도대감 청도 감말랭이, 300g, 2개입",11300,4.0,61
"이노카 워터드롭 베이직 식기건조대 1단, 화이트",9900,4.5,330
"다우니 표준형 섬유유연제 아로마 플로럴향 본품, 8.5L",14490,4.5,52546
"하기스 2017년 매직팬티 팬티형 기저귀 남아용 5단계 13~18kg, 120매",41110,4.5,2788
